"run_id","invalid_reason","count"
"76,989",Region is toplevel region.,8
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body228,1
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body311,1
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body359,1
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body461,1
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body52,1
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body560,1
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body61,1
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body614,1
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body74,1
"76,980",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body81,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body228,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body311,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body359,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body461,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body52,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body560,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body61,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body614,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body74,1
"76,979",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body81,1
"76,978",Non affine access function: ((4 * (sext i32 %5 to i64))<nsw> + (68 * (sext i32 %4 to i64))<nsw> + (272 * (sext i32 %0 to i64))<nsw>),1
"76,978",Non affine loop bound '(1 + (-2 smax (-1 + (-1 * %0))) + %0)' in loop: while.body,1
"76,978",Non affine loop bound '***COULDNOTCOMPUTE***' in loop: for.body,1
